PCMT,2019,No
PLNA,PCMT,
NONE,0,
Abdullah,4,
Abdul-Quddus,5,
Abernathy,7,
Abiamiri,8,
Abraham,9,
Abrams,11,
Acho,15,
Ackerman,16,
Adams,19,
Adcock,20,
Addai,21,
Addison,23,
Adeyanju,25,
Adibi,26
Adkins,27
Adkisson,28
Afalava,29
Agnew,31
Ah,35
Ahanotu,36
Aiken,38
Aikman,39
Ainge,40
Ajirotutu,41
Akbar,42
Akers,44
Akins,45
Alabi,47
Alama-Francis,48
Albert,50
Albright,52
Aldridge,55
Alecxih,56
Alexander,59
Alexis,60
Alford,61
Ali,62
al-Jabbar,63
Allan,64
Allen,64
Alleman,65
Allison,68
Allotey,70
Allred,71
Alridge,73
Alston,75
Alstott,76
Alualu,79
Amano,85
Amato,86
Amaya,87
Ambrose,89
Amendola,90
Amey,93
Amukamara,96
Amundson,97
Anderle,101
Anders,102
Andersen,103
Anderson,103
Andrew,106
Andrews,107
Andrus,108
Anelli,110
Anger,112
Angerer,113
Angulo,116
Annand,118
Anthony,119
Antrim,120
Anunoby,122
Anzalone,123
Applewhite,126
Araguz,127
Arceneaux,129
Archambeau,130
Archibald,132
Archuleta,133
Arellanes,135
Arenas,137
Arians,140
Arisman,143
Arkin,145
Armour,146
Armstead,147
Armstrong,148
Armstrong Jr,148
Arnaud,149
Arnold,150
Arnoux,151
Aromashodu,153
Arrington,155
Artmore,158
Asamoah,160
Asante,161
Asher,163
Ashmore,165
Asiata,166
Asiodu,167
Askew,168
Asomugha,170
Asper,172
Atchison,175
Atkins,176
Atogwe,179
Atwater,182
Ausberry,186
Austin,187
Autry,188
Avant,189
Avery,190
Avril,191
Awasom,192
Ayanbadejo,194
Ayers,195
Ayers Jr,195
Ayi,196
Ayodele,197
Azumah,198
Baadknews,199
Baas,200
Baber,202
Babers,203
Babin,204
Babineaux,205
Backus,207
Bacon,208
Bademosi,209
Baggs,211
Bailey,212
Bain,213
Bair,215
Bajema,218
Baker,219
Bakhtiari,220
Baldridge,222
Baldwin,223
Ball,226
Ballantyne,227
Ballard,228
Balmer,230
Balogh,231
Balogun,232
Baniewicz,237
Banks,238
Bankston,239
Bannan,240
Bannister,241
Bannon,242
Banta,243
Banta-Cain,244
Baptiste,245
Barber,246
Barbieri,247
Barbre,250
Barclay,251
Barden,252
Barker,253
Barkley,255
Barksdale,256
Barlow,258
Barnard,260
Barnes,261
Barnett,262
Barnhardt,264
Barnidge,266
Barret,269
Barrett,270
Barron,274
Barrow,275
Barry,276
Bartee,278
Bartel,279
Bartell,280
Barth,281
Bartholomew,283
Barton,285
Bartrum,286
Barwin,289
Basanez,290
Bashir,291
Basham,292
Baskett,294
Basnight,295
Bass,297
Bassey,298
Brazill,298
Batch,299
Bates,301
Bates III,301
Batiste,302
Battaglia,303
Batten,304
Battle,305
Battles,306
Baugh,307
Baugher,308
Bauman,309
Baxter,311
Baylark,312
Baylis,313
Bazuin,314
Beach,315
Beachum,316
Beadles,317
Beal,318
Bean,320
Beasley,323
Beasley Jr,323
Beason,324
Beatty,325
Bech,328
Becht,329
Beck,330
Beckett,332
Beckham,333
Beckham Jr,333
Beckum,334
Beckwith,335
Bedell,337
Beede,340
Beekman,341
Beeler,342
Beisel,346
Belcher,348
Bell,350
Bellamy,351
Bellanca,352
Bellisari,353
Bellore,354
Belser,358
Belton,360
Benard,362
Bender,363
Benedict,364
Benford,365
Benjamin,366
Benn,367
Bennett,368
Benoit,370
Benson,371
Bentley,372
Bequette,373
Bergen,376
Bergstrom,380
Beriault,381
Berlin,382
Bernadeau,384
Bernard,385
Bernstine,386
Berrian,387
Berry,388
Berton,389
Bess,391
Best,393
Bethea,395
Bethel,396
Bethel-Thompson,397
Bettis,400
Betts,401
Beuerlein,402
Beverly,403
Biakabutuka,404
Bidwell,404
Bialosuknia,406
Bias,407
Bibla,409
Bickerstaff,412
Biddle,413
Biekert,415
Bienemann,416
Bieniemy,417
Biermann,418
Bierria,419
Bigby,420
Biggers,421
Bilbo,422
Biletnikoff,423
Billingsley,424
Billups,425
Bilukidi,427
Bing,428
Bingham,429
Binn,430
Binns,431
Bird,432
Birdine,433
Birk,434
Birmingham,436
Bironas,437
Bishop,438
Bissinger,440
Bjornson,443
Black,444
Blackburn,445
Blackman,447
Blackmon,447
Blackshear,448
Blackstock,449
Blackwell,450
Blade,451
Blades,452
Blaise,453
Blake,454
Blakley,456
Blalock,457
Blanda,460
Blankenship,461
Blanton,463
Blaylock,466
Bledsoe,469
Blevins,470
Blizzard,473
Bloom,475
Blount,476
Blue,477
Bly,479
Bober,483
Bobo,484
Bock,485
Bodden,486
Bodiford,489
Body,492
Boerigter,493
